article,rank_page,word,tf,idf,tfidf,count
1,1,益生質,0.0008665511265164644,6.145012788350474,0.005324967754203183,1
1,1,營養師輕食300億機能益生菌,0.0008665511265164644,8.9136379699278,0.007724123024200866,1
1,1,萃取,0.004332755632582322,2.6064077899094107,0.011292928032536441,5
1,1,天然,0.00779896013864818,0.9305844323893347,0.007257590893850964,9
1,1,海藻,0.0034662045060658577,3.4610294410016675,0.011996635844026576,4
1,1,維生素,0.0034662045060658577,2.725671135785585,0.00944773357291364,4
1,1,膠原蛋白,0.0034662045060658577,2.809052686753662,0.009736751080601947,4
1,1,2021,0.009532062391681109,2.0908598455482195,0.019930206500026353,11
1,1,尿酸,0.004332755632582322,4.186686836208767,0.018139890971441797,5
1,1,高菌,0.0008665511265164644,7.9530958822244875,0.006891764196035084,1
