rank_page,word,count_sum,count_mean,tfidf_mean,rank_article,rank_page_count,article_count,current_page_count,first_appear
7,益生菌種類,1,1.0,0.012136612695473285,3,6,9,1,1
7,益生質,4,2.0,0.020865917787268165,3,8,23,2,1
7,益菌,2,2.0,0.025879457962326463,3,10,32,1,1
7,相關,6,6.0,0.010919164162786404,3,7,7,1,1
7,研究,4,4.0,0.007886119636527406,3,8,16,1,1
7,確保,6,6.0,0.02970483590314392,3,1,1,1,7
7,細菌叢生態,1,1.0,0.009608414522643062,3,4,6,1,1
7,組合,8,8.0,0.028837740240363712,3,2,2,1,3
7,總菌,1,1.0,0.014452663019302203,3,4,4,1,1
7,腸道,5,5.0,0.0615890738106151,3,10,36,1,1
7,芽孢乳酸菌,1,1.0,0.010768278280138831,3,4,4,1,2
7,芽孢桿菌,1,1.0,0.010388592824095079,3,4,4,1,1
7,菌叢,3,1.5,0.012593724585191162,3,8,26,2,1
7,菌數,9,4.5,0.07938145859677892,3,10,29,2,1
7,菌株,10,5.0,0.030693069631863367,3,10,35,2,1
7,菌種,16,5.333333333333333,0.06763698000095235,3,10,47,3,1
7,菌粉,1,1.0,0.005797666610733567,3,3,4,1,3
7,補充,8,8.0,0.02835086595958527,3,8,17,1,1
7,調整,5,5.0,0.02415922934165632,3,4,8,1,1
7,輔助,4,4.0,0.01782219834147562,3,1,1,1,7
7,避免,4,4.0,0.00937316986241968,3,2,2,1,5
7,配方,4,4.0,0.007644216755456931,3,3,3,1,1
7,酵母菌,2,1.0,0.007309928143300284,3,8,16,2,1
7,雙歧桿菌屬,1,1.0,0.014047521518648827,3,4,6,1,1
7,需要,4,4.0,0.004918110099503018,3,8,14,1,1
7,食品,5,5.0,0.005139288508081,3,8,10,1,1
7,食尚,7,7.0,0.05559111596444434,3,1,1,1,7
7,食用,28,28.0,0.05156635420249372,3,8,18,1,1
7,食用時間,4,4.0,0.05346796794089971,3,1,1,1,7
7,食用量,5,5.0,0.05043466236052497,3,1,1,1,7
7,飲食,4,4.0,0.014569234247220168,3,7,8,1,1
7,體質,6,6.0,0.03278989541425202,3,7,11,1,1
7,高菌,1,1.0,0.01350270947746093,3,5,6,1,1
7,黃金,9,9.0,0.03650728659892034,3,1,1,1,7
7,鼠李糖乳桿菌,1,1.0,0.010503561896982743,3,8,16,1,1
8,Bifidobacterium,8,4.0,0.015432875216500868,5,3,4,2,1
8,Chiou,4,4.0,0.03276765647642738,5,1,1,1,8
8,Enterococcus,6,6.0,0.016341695840894677,5,2,2,1,1
8,GG,4,4.0,0.005417710713393136,5,1,1,1,8
8,ISAPP,6,6.0,0.023140080163063584,5,1,1,1,8
8,LGG,5,5.0,0.0111748417961579,5,4,6,1,1
